UUID,NAME,DATA_TYPE,LOINC,NEW_LOINC
1619AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,RAPID PLASMA REAGIN,Coded,5288-6,true
1643AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,RAPID TEST FOR MALARIA,Coded,70564-0,true
1875AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,URINE PROTEIN (DIP STICK),Coded,20454-5,true
1945AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Serum Pregnancy Test, Qualitative",Coded,2118-8,true
5475AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Tuberculin Skin Test,Numeric,23538-2,false
5497AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CD4 COUNT,Numeric,24467-3,false
159362AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Fecal occult blood test,Coded,2335-8,false
159430AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Hepatitis B Surface Antigen Test,Coded,63557-3,false
159497AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Serum calcium,Numeric,17861-6,false
159606AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Indirect Coombs test,Coded,56886-5,false
159607AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Direct Coombs test,Coded,51006-5,false
159643AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Serum magnesium measurement,Numeric,19123-9,true
159644AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,glycosylated hemoglobin A measurement,Numeric,4548-4,true
159646AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,cerebrospinal fluid protein measurement,Numeric,2880-3,true
159648AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,cerebrospinal fluid bacterial culture,Text,20984-0,true
159654AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Troponin I measurement,Numeric,49563-0,true
159733AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"glucose measurement, quantitative, urine",Numeric,15076-3,false
159825AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"uric acid, serum",Numeric,3084-1,false
159828AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,serum iron measurement,Numeric,2498-4,true
159982AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"results, tuberculosis culture",Coded,88142-5,true
159984AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Tuberculosis drug sensitivity test results,Coded,18276-6,true
160225AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Sickle cell screening test,Coded,39230-8,false
160232AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Rhesus blood grouping test,Coded,10331-7,true
160735AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Bacteriuria test, urine",Coded,20408-1,true
160912AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Fasting blood glucose measurement (mg/dL),Numeric,1558-6,false
160914AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Post-prandial blood glucose measurement (mg/dL),Numeric,16915-1,false
161153AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Partial Thromboplastin Time,Numeric,3173-2,false
161154AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Serum phosphorous,Numeric,2777-1,false
161155AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Culture and sensitivity, blood",Text,600-7,false
161156AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Culture and sensitivity, urine",Text,630-4,false
161159AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Progesterone Receptor Assay,Numeric,10861-3,true
161233AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Blood cross-matching,Coded,883-9,true
161421AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Hemoglobin electrophoresis,Text,13514-5,false
161427AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Peripheral smear for microfilaria, concentration method",Coded,10662-5,false
161433AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Bleeding time (min),Numeric,11067-6,false
161435AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Clotting time (min),Numeric,3183-1,false
161438AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Urine pH,Numeric,2756-5,false
161439AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Urine specific gravity,Numeric,2965-2,false
161440AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Urine nitrite test,Coded,20407-3,false
